CCAA de estudio;Sexo;Tipo de centro;Habilidades TIC;Total
Total nacional;Ambos sexos;Total;Total;113.910
Total nacional;Ambos sexos;Total;Usuario experto;24.717
Total nacional;Ambos sexos;Total;Usuario de nivel avanzado;69.004
Total nacional;Ambos sexos;Total;Usuario de nivel básico;19.514
Total nacional;Ambos sexos;Total;No usuario de las TIC;198
Total nacional;Ambos sexos;Total;No consta;476
Total nacional;Ambos sexos;Centro Público;Total;85.143
Total nacional;Ambos sexos;Centro Público;Usuario experto;18.423
Total nacional;Ambos sexos;Centro Público;Usuario de nivel avanzado;52.229
Total nacional;Ambos sexos;Centro Público;Usuario de nivel básico;13.993
Total nacional;Ambos sexos;Centro Público;No usuario de las TIC;79
Total nacional;Ambos sexos;Centro Público;No consta;419
Total nacional;Ambos sexos;Centro Privado;Total;28.767
Total nacional;Ambos sexos;Centro Privado;Usuario experto;6.294
Total nacional;Ambos sexos;Centro Privado;Usuario de nivel avanzado;16.775
Total nacional;Ambos sexos;Centro Privado;Usuario de nivel básico;5.521
Total nacional;Ambos sexos;Centro Privado;No usuario de las TIC;120
Total nacional;Ambos sexos;Centro Privado;No consta;57
Total nacional;Hombres;Total;Total;55.473
Total nacional;Hombres;Total;Usuario experto;17.900
Total nacional;Hombres;Total;Usuario de nivel avanzado;29.318
Total nacional;Hombres;Total;Usuario de nivel básico;7.666
Total nacional;Hombres;Total;No usuario de las TIC;193
Total nacional;Hombres;Total;No consta;396
Total nacional;Hombres;Centro Público;Total;41.740
Total nacional;Hombres;Centro Público;Usuario experto;13.360
Total nacional;Hombres;Centro Público;Usuario de nivel avanzado;22.068
Total nacional;Hombres;Centro Público;Usuario de nivel básico;5.888
Total nacional;Hombres;Centro Público;No usuario de las TIC;74
Total nacional;Hombres;Centro Público;No consta;350
Total nacional;Hombres;Centro Privado;Total;13.733
Total nacional;Hombres;Centro Privado;Usuario experto;4.541
Total nacional;Hombres;Centro Privado;Usuario de nivel avanzado;7.250
Total nacional;Hombres;Centro Privado;Usuario de nivel básico;1.778
Total nacional;Hombres;Centro Privado;No usuario de las TIC;120
Total nacional;Hombres;Centro Privado;No consta;46
Total nacional;Mujeres;Total;Total;58.437
Total nacional;Mujeres;Total;Usuario experto;6.817
Total nacional;Mujeres;Total;Usuario de nivel avanzado;39.687
Total nacional;Mujeres;Total;Usuario de nivel básico;11.848
Total nacional;Mujeres;Total;No usuario de las TIC;5
