Sexo;Ciclo;Habilidades TIC;Total
Ambos sexos;Total;Total;100,0
Ambos sexos;Total;Usuario experto;21,8
Ambos sexos;Total;Usuario de nivel avanzado;60,8
Ambos sexos;Total;Usuario de nivel básico;17,2
Ambos sexos;Total;No usuario de las TIC;0,2
Ambos sexos;01 - AGRARIA;Total;100,0
Ambos sexos;01 - AGRARIA;Usuario experto;7,3
Ambos sexos;01 - AGRARIA;Usuario de nivel avanzado;62,9
Ambos sexos;01 - AGRARIA;Usuario de nivel básico;28,9
Ambos sexos;01 - AGRARIA;No usuario de las TIC;0,9
Ambos sexos;Técnico superior en gestión forestal y del medio natural;Total;100,0
Ambos sexos;Técnico superior en gestión forestal y del medio natural;Usuario experto;8,2
Ambos sexos;Técnico superior en gestión forestal y del medio natural;Usuario de nivel avanzado;62,1
Ambos sexos;Técnico superior en gestión forestal y del medio natural;Usuario de nivel básico;28,6
Ambos sexos;Técnico superior en gestión forestal y del medio natural;No usuario de las TIC;1,1
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Total;100,0
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Usuario experto;4,6
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Usuario de nivel avanzado;65,4
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Usuario de nivel básico;30,0
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;No usuario de las TIC;0,0
Ambos sexos;02 - MARÍTIMO-PESQUERA;Total;100,0
Ambos sexos;02 - MARÍTIMO-PESQUERA;Usuario experto;20,6
Ambos sexos;02 - MARÍTIMO-PESQUERA;Usuario de nivel avanzado;63,3
Ambos sexos;02 - MARÍTIMO-PESQUERA;Usuario de nivel básico;16,1
Ambos sexos;02 - MARÍTIMO-PESQUERA;No usuario de las TIC;0,0
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;Total;100,0
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;Usuario experto;7,6
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;Usuario de nivel avanzado;73,6
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;Usuario de nivel básico;18,8
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;No usuario de las TIC;0,0
Ambos sexos;04 - QUÍMICA;Total;100,0
Ambos sexos;04 - QUÍMICA;Usuario experto;16,3
Ambos sexos;04 - QUÍMICA;Usuario de nivel avanzado;69,7
Ambos sexos;04 - QUÍMICA;Usuario de nivel básico;13,5
Ambos sexos;04 - QUÍMICA;No usuario de las TIC;0,4
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;Total;100,0
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;Usuario experto;11,7
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;Usuario de nivel avanzado;73,8
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;Usuario de nivel básico;14,5
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Total;100,0
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Usuario experto;26,7
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Usuario de nivel avanzado;60,4
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Usuario de nivel básico;11,4
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;No usuario de las TIC;1,4
Ambos sexos;05 - IMAGEN PERSONAL;Total;100,0
Ambos sexos;05 - IMAGEN PERSONAL;Usuario experto;6,7
Ambos sexos;05 - IMAGEN PERSONAL;Usuario de nivel avanzado;63,2
Ambos sexos;05 - IMAGEN PERSONAL;Usuario de nivel básico;30,2
Ambos sexos;05 - IMAGEN PERSONAL;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en estética integral y bienestar;Total;100,0
Ambos sexos;Técnico superior en estética integral y bienestar;Usuario experto;3,6
Ambos sexos;Técnico superior en estética integral y bienestar;Usuario de nivel avanzado;63,5
Ambos sexos;Técnico superior en estética integral y bienestar;Usuario de nivel básico;33,0
Ambos sexos;Técnico superior en estética integral y bienestar;No usuario de las TIC;0,0
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Total;100,0
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Usuario experto;12,7
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Usuario de nivel avanzado;62,6
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Usuario de nivel básico;24,7
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;No usuario de las TIC;0,0
Ambos sexos;06 - SANIDAD;Total;100,0
Ambos sexos;06 - SANIDAD;Usuario experto;7,6
Ambos sexos;06 - SANIDAD;Usuario de nivel avanzado;65,4
Ambos sexos;06 - SANIDAD;Usuario de nivel básico;27,1
Ambos sexos;06 - SANIDAD;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en audiología protésica;Total;100,0
Ambos sexos;Técnico superior en audiología protésica;Usuario experto;14,0
Ambos sexos;Técnico superior en audiología protésica;Usuario de nivel avanzado;69,2
Ambos sexos;Técnico superior en audiología protésica;Usuario de nivel básico;16,9
Ambos sexos;Técnico superior en audiología protésica;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Total;100,0
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Usuario experto;8,2
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Usuario de nivel avanzado;63,9
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Usuario de nivel básico;27,9
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;No usuario de las TIC;0,0
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Total;100,0
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Usuario experto;10,0
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Usuario de nivel avanzado;71,3
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Usuario de nivel básico;18,7
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;No usuario de las TIC;0,0
